file,group,type
ERR883767_1,mother_queen,single-read
ERR883768_1,mother_queen,single-read
ERR883769_1,mother_queen,single-read
ERR883770_1,male_adult,single-read
ERR883771_1,male_adult,single-read
ERR883772_1,male_adult,single-read
ERR883773_1,male_larvae,single-read
ERR883774_1,male_larvae,single-read
ERR883775_1,male_larvae,single-read
ERR883776_1,male_pupae,single-read
ERR883777_1,male_pupae,single-read
ERR883778_1,male_pupae,single-read
ERR883779_1,queen_larvae,single-read
ERR883780_1,queen_pupae,single-read
ERR883781_1,virgin_queen,single-read
ERR883782_1,reproductive_adult_worker,single-read
ERR883783_1,reproductive_adult_worker,single-read
ERR883784_1,reproductive_adult_worker,single-read
ERR883785_1,undetermined_adult_worker,single-read
ERR883786_1,undetermined_adult_worker,single-read
ERR883787_1,undetermined_adult_worker,single-read
ERR883788_1,worker_larvae,single-read
ERR883789_1,worker_larvae,single-read
ERR883790_1,worker_larvae,single-read
ERR883791_1,worker_pupae,single-read
ERR883792_1,worker_pupae,single-read
ERR883793_1,worker_pupae,single-read
